0|0|42|0|1|2
0|1|2|43|1|2
0|2|44|5|6|7
0|3|28|45|10|12
0|4|13|37|14|14
0|5|2|3|0|43
0|6|39|19|20|10
0|7|13|21|46|47
0|8|48|49|24|14
0|9|25|50|28|51
0|10|11|29|47|52
0|11|2|1|53|43
0|12|44|54|8|33
0|13|11|34|45|30
0|14|13|16|37|55
0|15|9|10|56|56
0|16|21|40|22|57
0|17|43|1|2|0
1|0|0|1|42|2
1|1|1|2|4|43
1|2|44|48|7|5
1|3|9|45|58|28
1|4|13|37|59|14
1|5|2|0|3|17
1|6|9|39|20|19
1|7|21|22|13|60
1|8|48|5|49|14
1|9|25|28|51|50
1|10|11|29|61|30
1|11|2|1|43|53
1|12|44|54|5|33
1|13|11|34|35|30
1|14|13|37|16|14
1|15|10|9|28|56
1|16|58|21|22|40
1|17|43|1|0|3
2|0|0|1|2|3
2|1|1|0|2|3
2|2|44|5|7|6
2|3|9|10|12|45
2|4|13|14|37|59
2|5|0|3|2|43
2|6|9|10|20|19
2|7|21|13|22|60
2|8|7|14|49|48
2|9|62|25|50|38
2|10|11|29|61|47
2|11|1|3|63|0
2|12|44|54|8|5
2|13|11|34|35|64
2|14|14|13|55|16
2|15|9|10|38|56
2|16|21|22|58|40
2|17|1|0|43|3
3|0|1|0|2|42
3|1|1|2|43|41
3|2|44|5|7|6
3|3|9|10|39|12
3|4|13|37|14|59
3|5|0|2|3|43
3|6|9|39|19|10
3|7|21|13|22|47
3|8|14|49|37|7
3|9|25|65|51|28
3|10|11|61|47|30
3|11|2|1|43|53
3|12|44|5|54|66
3|13|11|30|34|64
3|14|13|14|16|37
3|15|9|10|56|25
3|16|21|22|58|39
3|17|1|43|2|0
4|0|1|0|2|42
4|1|1|2|43|4
4|2|44|5|48|7
4|3|45|67|10|9
4|4|13|59|37|14
4|5|0|3|43|2
4|6|10|19|20|39
4|7|22|21|13|46
4|8|49|48|14|67
4|9|25|28|65|50
4|10|11|30|29|47
4|11|1|3|2|43
4|12|44|8|54|33
4|13|11|30|34|35
4|14|13|14|37|55
4|15|9|10|68|28
4|16|22|21|40|57
4|17|1|43|2|0
5|0|1|2|0|42
5|1|1|2|43|0
5|2|44|5|7|48
