0|63
0|84
0|1
0|42
0|87
0|2
0|43
0|17
0|4
0|3
0|0
0|41
1|1
1|84
1|43
1|18
1|0
1|53
1|3
1|42
1|4
1|2
1|41
2|84
2|5
2|48
2|6
2|79
2|73
2|54
2|118
2|24
2|7
2|33
2|44
2|143
2|8
2|132
2|66
2|94
2|71
2|120
3|45
3|64
3|12
3|39
3|74
3|11
3|28
3|121
3|67
3|84
3|10
3|9
3|20
3|58
3|76
4|55
4|123
4|16
4|15
4|84
4|37
4|100
4|13
4|85
4|129
4|59
4|60
4|14
4|91
5|18
5|84
5|87
5|63
5|1
5|43
5|4
5|17
5|0
5|42
5|3
5|41
5|107
5|2
6|9
6|138
6|10
6|76
6|86
6|39
6|99
6|45
6|122
6|20
6|108
6|64
6|84
6|19
6|102
7|98
7|84
7|22
7|72
7|114
7|106
7|21
7|100
7|104
7|77
7|47
7|93
7|124
7|13
7|69
7|60
7|46
7|23
8|44
8|5
8|24
8|141
8|12
8|84
8|98
8|16
8|6
8|67
8|48
8|7
8|109
8|57
8|49
8|14
8|37
9|26
9|84
9|62
9|51
9|82
9|25
9|50
9|65
9|133
9|38
9|117
9|135
9|142
9|126
9|27
9|80
9|113
9|28
9|137
9|101
10|35
10|84
10|70
10|29
10|52
10|30
10|47
10|144
10|88
10|78
10|31
10|111
10|11
10|83
10|61
10|96
10|34
10|115
10|136
11|84
11|89
11|42
11|63
11|107
11|0
11|18
11|41
11|4
11|3
11|17
11|2
11|43
11|1
11|53
12|120
12|6
12|94
12|8
12|140
12|118
12|81
12|32
12|75
12|66
12|77
12|5
12|33
12|44
12|73
12|84
12|54
13|30
13|45
13|35
13|111
13|92
13|29
13|110
13|34
13|103
13|105
13|116
13|139
13|84
13|31
13|125
13|36
13|64
13|11
14|59
14|24
14|15
14|49
14|91
14|112
14|60
14|37
14|100
14|16
14|13
14|84
14|55
14|14
14|134
15|50
15|130
15|119
15|25
15|10
15|95
15|68
15|28
15|82
15|9
15|127
15|101
15|84
15|65
15|135
15|51
15|97
15|56
15|38
16|90
16|22
16|84
16|57
16|69
16|131
16|128
16|39
16|98
16|58
16|21
16|40
16|12
16|74
16|93
16|20
17|2
17|41
17|1
17|84
17|43
17|63
17|0
17|3
17|42
17|87
17|4
17|17
