0|"BenSwim16"|False
1|"swimz14"|True
2|"realswimshady"|True
3|"maxDSU"|True
4|"LaSwimmer17"|True
5|"scottishswimmer"|True
6|"mcmanusk43"|True
7|"ZLW13"|True
8|"monkeypuzzle"|True
9|"pmsd2014"|True
10|"eadgifu"|True
11|"ZSWard"|True
12|"CadeA"|True
13|"Lexi8748"|True
14|"Gappas"|False
15|"Pologuy41"|True
16|"LIveNudes"|True
17|"SteveP2012"|True
18|"BBWolf41"|True
19|"Jack"|False
20|"Trambaughstyle"|True
21|"Teaguesaut13"|True
22|"Tschlechter42"|True
23|"chris"|True
24|"Swimming"|False
25|"Michaeln55"|True
26|"Vappy"|True
27|"jjjjjjjjqc17"|True
28|"Ferrellx222"|True
29|"lwohlrab"|True
30|"GrumpySwimmer"|True
31|"Teamwiess"|True
32|"Dhunt555"|True
33|"Jonathan T"|True
34|"jimmyhug3"|True
35|"soxpats74"|True
36|"Salt Lick BBQ"|True
37|"Taylor.snelson"|False
38|"Wheatie333"|True
39|"sfdf15"|True
40|"Junker23"|True
41|"LukeNondo3"|False
42|"Natee"|True
43|"Trhoades35"|True
44|"DISTANCEGURU"|True
45|"jbenn123"|False
46|"wiscoswim"|False
47|"JackD"|False
48|"Louie Stevens"|True
49|"NTYNOW"|False
50|"LindaB"|True
51|"Reid"|True
52|"Diveteamowuswim"|True
53|"johnnyswim"|True
54|"ILswammer"|True
55|" Hedgehog"|True
56|"W3T"|True
57|"IAMTHEHYPE"|True
58|"tigershark"|True
59|"bobthebuilderrocks"|True
60|"Andrew"|True
61|"Fighting Irish"|True
62|"swimmer08"|True
63|"swimmike330"|True
64|"Colinmurphy"|False
65|"hanelliott"|False
66|"JRLswim"|True
67|"bmchugh427"|True
68|"msullivan22"|True
69|"JerBear"|True
70|"kevmvirn"|True
71|"HulkSwim"|True
72|"757swim"|True
73|"rsharvill"|False
74|"Mark Yuvienco"|True
75|"Olsswim05"|True
76|"Agon"|True
77|"DBurkett"|True
78|"Wahoowa"|False
79|"BTH"|True
80|"Karl O"|False
81|"JaketheTank"|True
82|"jdawg"|True
83|"Stephen Culberson"|True
84|"wanger"|True
85|"mwl"|True
86|"cooco419"|True
87|"rammajamma"|True
88|"Sean S"|True
89|"WUSwim4TheWin"|True
90|"Highschool swimmer"|False
91|"Displaced Wolverine"|True
92|"thatsw1mK1D"|True
93|"PKWater"|True
94|"ianmolloy"|True
95|"Jack HS"|True
96|"ekeenan"|True
97|"aceiknow"|True
98|"Dr_Bigtit"|False
99|"JackScott"|True
100|"Longhorn"|True
101|"Boss88"|True
102|"tmoore184"|True
103|"HerrBuzzard"|True
104|"Jim"|True
105|"Penislard07"|False
106|"ET"|True
107|"mgswimmer"|True
108|"KK"|False
109|"rg59"|False
111|"CDN82"|True
112|"MG"|True
113|"Arnas_23"|False
114|"Glenny"|True
115|"BachZishop"|True
116|"Paulcrew68"|True
117|"monsterbasher"|False
118|"ByrdistheWord"|True
119|"TylerRose6874"|True
120|"Fish"|True
121|"KEITHHHHHHHHHHHHH"|True
122|"RYANMASSEY"|True
123|"TrapLordFerg"|True
124|"N8RG8R"|True
125|"cooper"|True
126|"ptrig"|True
127|"mefowler"|True
128|"Butterball89"|True
129|"NC Swim Fan"|True
130|"SignMeUp Todd"|True
131|"UWRF DSquad"|True
132|"dtd95"|True
133|"dakotalynn07"|True
135|"Primswim"|True
136|"KP"|True
137|"SwimSchwab"|True
138|"CClay"|True
139|"Leslie Knope"|True
140|"Pineapple"|True
141|"SCaquatics"|True
142|"Something cool"|True
143|"GWUPeaches"|False
144|"waterbug27"|True
145|"coachDWY"|True
146|"KrisSanders"|True
147|"mit_w_buck"|True
148|"Bobbo1451"|True
149|"Mattpznski"|True
150|"50ForTime"|False
151|"LNEIDIGHSwimSwam"|False
152|"zhing"|True
153|"SwimSam"|True
154|"SamH"|True
155|"bearkatcoach"|True
156|"dmswim"|True
157|"Ilovechicken"|True
158|"HammerPants"|True
159|"HLAARON"|True
160|"Hardwick"|True
161|"PerfectPicks"|True
162|"Hina"|True
163|"Shaquille O'Neal"|False
164|"Daaaave"|False
165|"kdawglonghorn"|True
166|"Rick1996"|True
167|"Keptswimming"|True
168|"moshe13"|True
169|"matt m"|True
170|"dunc1952"|True
171|"NC State Fan"|True
172|"NotNotSwimSwam"|True
173|"Tedward"|True
174|"MrFahrenheit"|True
175|"itsnotbreaststrokeanymore"|True
176|"PWB"|True
177|"The Pueblo"|False
178|"konnerscott"|True
179|"Lokermotion"|False
180|"BC Eagles"|False
181|"Lane 0"|True
182|"pilkka777"|True
183|"Jbmcswimboy "|False
184|"Tony the Tiger"|True
185|"scaron"|True
186|"jcd"|True
187|"BillkeyAZ"|True
188|"BroLewy"|True
189|"smurphyswimmer"|True
190|"Lendrum "|True
191|"Swimjack"|True
192|"YBCC"|True
193|"margzs"|True
194|"Ken C"|True
195|"davidahong"|True
196|"(G)olden Bear"|True
197|"MDswimming"|True
198|"AuKing11"|True
199|"tmdera"|True
200|"Urhomie "|True
